N°,TIENDA,Horas Aprobadas,Crecimiento,Atención Deseada
7171,COMO - VIA ADAMO DEL PIERO,,,
1705,PARKLAKE BUCAREST,,,
1709,VIVOMALL CONSTANZA,,,
1712,ELECTROPUTERE,,,
1185,CC SAINT LAZARE,,,
1169,CC LA VALENTINE MARSEILLE,,,
1182,CC EPAGNY,,,
1179,CC CARREFOUR NICE,,,
2168,Villasuncion Aguascalientes,,,
2169,Gran Terraza Oblatos,,,
7174,VIA ETNEA CATANIA,,,
681,CC ESTACION VIANA,,,
291,CC GARBERA,,,
362,CALLE COLBLANC (BARNA),,,
361,CARRER NOU (MENORCA),,,
1408,AVENIDA Poznan,,,
1409,MOKOTOW Warszawa,,,
1411,PLAZA Torun,,,
1412,LODZKA Lodz,,,
1413,TARGOWEK Warszawa,,,
1414,KRAKOWSKA Krakow,,,
1415,ZLOTE 2 Warszawa,,,
3999,TÚNEL INSP,,,
4006,VIVO IMPERIO,,,
4007,PLAZA VESPUCIO,,,
4008,ARAUCO MAIPU,,,
4009,PLAZA TOBALABA,,,
4011,PLAZA EGAÑA,,,
4012,PASEO CURICO,,,
4013,ESPACIO URBANO MAIPU,,,
4014,PORTAL LA DEHESA,,,
4015,PORTAL ANTOFAGASTA,,,
4016,FLORIDA CENTER,,,
2171,POP UP,,,
1178,CC PINCE VENT (ORMESSON),,,
2172,Zentralia Colima,,,
2173,AICM Terminal 2 llegadas,,,
2174,Plaza Galerías Las Torres,,,
2175,Esfera Monterrey,,,
2176,Galerias Acapulco,,,
404,ATOCHA,,,
7176,CARUGATE STAND,,,
1416,KRUPÓWKI Zakopane,,,
7177,BOLZANO CC TWENTY,,,
1191,Nice Lingostiere,,,
1192,Evreux,,,
1181,Brest Jaures,,,
1184,Bretigny,,,
1189,Calais,,,
1188,Salaise,,,
363,CALLE BARCELONA (SALOU),,,
3501,CC ANDINO,,,
3502,CC NUESTRO,,,
3503,AEROPUERTO EL DORADO OCCIDENTE,,,
3504,AEROPUERTO EL DORADO ORIENTE,,,
3505,AEROPUERTO SANTA MARTA,,,
3506,CC FONTANAR,,,
3507,AEROPUERTO CÚCUTA,,,
3508,AEROPUERTO BUCARAMANGA,,,
3509,CC COLINA,,,
3511,AEROPUERTO BARRANQUILLA,,,
3512,AEROPUERTO RIONEGRO,,,
3513,CC UNICENTRO,,,
3514,CC FABRICATO,,,
3515,CC PARQUE ALEGRA,,,
1196,STAND POITIERS SUD,,,
364,PLAZA DEL CORPUS (SEGOVIA),,,
2177,Galerias Coapa,,,
2178,Americas Tuxtla,,,
2179,Samara,,,
2181,Patio Tlalpan,,,
2182,Patio Santa Fe,,,
2183,Midtown Jalisco,,,
2601,BRNO OLYMPIA,,,
2602,PLZEŇ BORSKÁ POLE,,,
2603,PLZEŇ OLYMPIA,,,
2604,PARDUBICE,,,
2605,PRAHA – LETŇANY,,,
2606,JIHLAVA,,,
2607,TEPLICE,,,
2608,PRAHA - WESTFIELD CHODOV,,,
2609,ZLICIN,,,
7178,CC GIUSSANO-STAND (ITALIA),,,
1713,PLOIESTI,,,
1183,LEVALLOIS PERRET,,,
1187,PERPIGNAN CLAIRA,,,
1193,BLAGNAC,,,
1194,PORTET SUR GARONNE,,,
2611,PRAHA - ARKDY,,,
2612,ČESKÉ BUDĚJOVICE - GÉČKO_CC GLOBUS,,,
2613,ČESKÉ BUDĚJOVICE – IGY,,,
2614,LIBEREC GÉČKO,,,
2615,LIBEREC NISA,,,
2616,MLADÁ BOLESLAV OLYMPIA,,,
2617,OSTRAVA GÉČKO_CC GLOBUS,,,
2618,PRAGUE AIRPORT,,,
13522,Tienda - Almacén Impresión,,,
2619,FLORA,,,
7168,MILANO FS CENTRALE,,,
1417,KATOWICKA Katowice,,,
686,CC COLOMBO 2,,,
4017,MALL PLAZA ALAMEDA,,,
4018,MALL PLAZA BIOBIO,,,
682,Rua João de Deus (Évora),,,
4021,PUERTO MONTT,,,
358,CC La Cañada (Marbella),,,
4019,MALL PASEO CHILOE,,,
4022,PUERTO VARAS,,,
4023,MALL PASEO VALDIVIA,,,
4024,MALL PLAZA LOS DOMINICOS,,,
4025,MALL PLAZA SUR,,,
4026,MALL PLAZA LA SERENA,,,
687,687 - Largo Toural nº4 (Guimarães),,,
688,CC MADEIRA SHOPPING,,,
2184,Gran Outlet Cuernavaca,,,
2185,Aeropuerto CDMX T1 P7,,,
2186,Explanada Pachuca,,,
2187,Encuentro Oceania,,,
2188,Gran Patio Zaragoza,,,
684,CC CAMPERA OUTLET,,,
1195,Noisy le Grand Arcads,,,
7172,POMPEI CC MAXI MALL,,,
4027,MALL PATIO OUTLET PEÑUELAS,,,
7179,Porte di Sassari,,,
689,STAND GALERIA MAIA AUCHA,,,
3201,PENDIENTE,,,
3202,PENDIENTE,,,
3203,PENDIENTE,,,
1418,SFERA Bielsko-Biała,,,
1421,SLONECZNA Radom,,,
1186,MONTPELLIER LATTE,,,
4028,MALL PLAZA CALAMA,,,
4029,PIONERO PUNTA ARENAS,,,
4038,MALL PLAZA ARICA,,,
4041,MALL PASEO QUILPUE,,,
2621,STAND NOVY SMICHOV,,,
1714,VERANDA MALL BUCAREST,,,
2189,Paseo la Fe,,,
2191,Valle Oriente,,,
2192,Multiplaza Aragon 2,,,
2193,Multiplaza Tuxtepec,,,
2194,Americas Veracruz,,,
3204,PENDIENTE,,,
2195,Plaza Rio Tijuana,,,
4042,MALL PASEO ROSS,,,
4031,MALL PLAZA TREBOL,,,
4032,VIVO SAN FERNANDO,,,
4034,MALL ARAUCO CORONEL,,,
4035,VIVO COQUIMBO,,,
4036,VIVO CHILLAN,,,
4037,MALL PLAZA IQUIQUE,,,
4039,PASEO VIÑA CENTRO,,,
1422,MAZOVIA Plock,,,
2901,ERMOU,,,
2902,LARISSA KOUMA,,,
1419,BIALA Bialystok,,,
1423,DOMINIKANSKA Wroclaw,,,
1424,FOCUS Bydgoszcz,,,
1425,WARMINSKA Olsztyn,,,
2196,Ciudad Jardin,,,
2197,Galerias Metepec,,,
2198,Galerias Saltillo,,,
2010,Tienda Escuela Rosario,,,
7175,Pendiente nombre,,,
1716,SIBIU SHOPPING MALL,,,
685,SALDAHNA,,,
365,CC EL MIRADOR,,,
123,ESTACION JOAQUIN SOROLLA (Valencia),,,
375,CC HABANERAS STAND,,,
4202,MALL PLAZA BELLAVISTA,,,
4203,MALL PLAZA AREQUIPA,,,
4204,OPEN PLAZA ANGAMOS,,,
4205,OPEN PLAZA ATOCONGO,,,
4206,CENCO LIMA SUR,,,
4207,CENCO AREQUIPA,,,
2085,Punto Sur,,,
4053,ESPACIO URBANO MELIPILLA,,,
4055,BOULEVARD MARINA ARAUCO,,,
4056,MALL DEL CENTRO CONCEPCION,,,
2625,Stand Brno CC Galerie Vankovka,,,
2628,OSTRAVA AVION,,,
1721,BARLAD VALUE CENTER,,,
1204,PONTAULT COMBAULT,,,
1212,STAND LES ULIS,,,
1208,VALENCIENNES,,,
1206,METZ MUSE,,,
1162,ESPACE ANJOU,,,
1214,AMIENS CENTRE VILLE,,,
1207,LA DEFENSE CC LES QUATRE TEMPS,,,
1215,CAEN MONDEVILLE,,,
1216,BORDEAUX ST CATHERINE,,,
3518,FALABELLA COLINA,,,
2087,Valquirico,,,
3299,TURQUÍA WAREHOUSE,,,
1434,Factory Ursus Varsovia,,,
,FUENCARRAL,,,
,CC LOS ARCOS,,,
,PARQUE CEUTA,,,
