N°,TIENDA,Horas Aprobadas,Crecimiento,Atención Deseada
188,ALGECIRAS CENTRO (C-REGINO MARTINEZ),,,
189,AVILÉS (C- DE LA CAMARA),,,
192,CALLE GONDOMAR (CORDOBA),,,
194,PASEO DE ALMERIA (ALMERIA),,,
198,PONTEVEDRA (Benito Corbal 16),,,
235,ESPAI GIRONES,,,
191,JEREZ - CALLE LARGA,,,
196,CC ATLANTICO VECINDARIO,,,
236,CALLE REAL (A CORUÑA),,,
193,CALLE PASEO 40 - ORENSE CENTRO,,,
197,GRAN VIA (MURCIA),,,
199,CALLE SOL (PLASENCIA),,,
237,CC N4 ECIJA,,,
238,AEROPUERTO EL PRAT (BARCELONA),,,
239,CALLE PELAYO,,,
614,CC 8ª AVENIDA,,,
613,NOVA ARCADA,,,
615,CC VASCO DA GAMA,,,
616,CC RIOSUL SHOPPING,,,
99,OFICINA & SUPERVISORES,,,
66,PLAZA RIO 2 PTA ALTA  023,,,
67,PLAZA RIO 2 PTA BAJA 08,,,
241,CC ESPACIO TORRELODONES,,,
244,CALLE TETUAN (SEVILLA),,,
999,TIENDA ONLINE,,,
701,MILANO - BUENOS AIRES,,,
702,BUSNAGO,,,
703,CREMONA,,,
245,CC LOS ALISIOS (CANARIAS),,,
243,IBIZA,,,
617,CC CASCAI SHOPPING,,,
704,VENECIA ,,,
705,PADUA (PADOVA),,,
618,CC LEIRIA SHOPPING,,,
248,DON BENITO,,,
246,CC 7 PALMAS,,,
247,PORTAL DEL ANGEL (BARCELONA),,,
249,CC ALMENARA LORCA (MURCIA),,,
251,CC VIALIA (MALAGA),,,
252,CALLE ANCHA (LEON),,,
502,BILBAO (GRAN VIA 36),,,
503,TUDELA CENTRO,,,
256,The STYLE OUTLET SANSEBASTIAN DE LOS REYES,,,
254,VALLADOLID CENTRO ,,,
255,The STYLE OUTLET VILADECANS,,,
257,BENIDORM - PASEO DE LA CARRETERA,,,
258,AVILA - CENTRO,,,
261,CARTAGENA CALLE,,,
262,CC L·EPICENTRE,,,
706,CC FIORDALISO (ROZZANO),,,
707,VIALE MARCONI (ROMA),,,
708,CC GALLERY LINGOTO - TORINO,,,
709,BOLOGNA,,,
711,CC LE GRU (GRUGLIASCO),,,
712,CC THIENE - VICENZA,,,
713,CC GRANDEMILIA (MODENA),,,
714,CC ACQUARIO - VIGNATE,,,
715,CC LE BETULLE,,,
716,CC PORTA DI ROMA (ROMA),,,
263,PUERTA EUROPA (ALGECIRAS),,,
253,DENIA,,,
717,CC APRILIA 2 ,,,
718,CC SAN MARTINO (NOVARA),,,
719,CC QUARTO NUOVO (NAPOLI),,,
721,VIA MAZZINI PARMA,,,
722,CC TUSCIA (VITERBO),,,
723,CC EUROMA 2,,,
788,ITACA FORMIA,,,
621,FARO (PORTUGAL),,,
622,POVOA,,,
304,CC OSITO,,,
242,CC PLAZA MAYOR (MALAGA),,,
266,BURGOS,,,
267,CC ALCALA MAGNA,,,
264,CC AQUA VALENCIA,,,
265,MELILLA,,,
268,HUESCA,,,
269,CHICLANA,,,
725,CC CENTRO PIEVE VIALE,,,
726,CC LE DUE TORRI (Stezzano),,,
727,CC VALECENTER,,,
619,CC ESPACIO GUIMARAES,,,
623,CC LOURESHOPPING,,,
272,CC ARENAS MULTIESPACIO,,,
729,CC LIMBATE CARREFOUR,,,
271,CC AREA SUR,,,
273,LINARES,,,
731,CC FANO CENTER,,,
733,CC PRIMAVERA,,,
274,CC MURIAS PARQUE - MELILLA,,,
277,MARBELLA,,,
276,FUENGIROLA CENTRO,,,
735,VIA DEL CORSO (ROMA),,,
728,ROMA TERMINI STAZIONE FS,,,
734,CC MARI EN MONTI,,,
